Nam,Vung,Nhiet_do_Trung_binh (Celsius),Nhiet_do_Trung_binh_Cao_nhat (Celsius),Nhiet_do_Trung_binh_Thap_nhat (Celsius),Do am Tuong doi (%),Tong Luong mua (mm),LoaiCayTrong,Sanluong (nghin tan),Dientich (nghin ha)
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Khoai,2.2,0.2
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua dong xuan,1088.9,178
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua he thu,770,185
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua mi,1.6,1.9
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua mua,33.6,28.8
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Ngo,57.8,8.8
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,San,11.6,1.4
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Khoai,2,0.2
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua dong xuan,1132.5,188.2
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua he thu,795.7,206.7
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua mi,2.3,1.6
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua mua,43.3,22.3
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Ngo,56.2,8.6
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,San,18.4,1.2
1997,An Giang,27.52,31.78,24.47,78.04,1561,Khoai,1.2,0.1
1997,An Giang,27.52,31.78,24.47,78.04,1561,Lua dong xuan,1307.6,209.8
1997,An Giang,27.52,31.78,24.47,78.04,1561,Lua he thu,649.8,190
1997,An Giang,27.52,31.78,24.47,78.04,1561,Lua mi,8.4,5.6
1997,An Giang,27.52,31.78,24.47,78.04,1561,Lua mua,23.1,15.2
1997,An Giang,27.52,31.78,24.47,78.04,1561,Ngo,17.9,4.7
1997,An Giang,27.52,31.78,24.47,78.04,1561,San,14.9,1.1
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Khoai,2.5,0.3
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua dong xuan,1308.7,212.5
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua he thu,710.5,200
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua mi,1.1,3.6
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua mua,25.4,16.7
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Ngo,17,4.3
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,San,9,1
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Khoai,5.5,0.4
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua dong xuan,1258.8,216.6
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua he thu,814.5,231.5
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua mi,3.2,3.2
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua mua,26.7,14.8
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Ngo,9.7,5.1
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,San,23.5,1.3
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Khoai,5.8,0.4
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua dong xuan,1344.9,220.4
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua he thu,807,232.8
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua mi,0,0
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua mua,25.8,11.2
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Ngo,10.5,5.1
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,San,8.1,0.6
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Khoai,4.3,0.2
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua dong xuan,1231.8,221.7
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua he thu,849.4,225.9
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua mi,0,0
