Nam,Vung,Nhiet_do_Trung_binh (Celsius),Nhiet_do_Trung_binh_Cao_nhat (Celsius),Nhiet_do_Trung_binh_Thap_nhat (Celsius),Do am Tuong doi (%),Tong Luong mua (mm),LoaiCayTrong,Sanluong (nghin tan),Dientich (nghin ha),Temp_Range,Yield (tan/ha)
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Khoai,2.2,0.2,7.559999999999999,10.945273631840797
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua dong xuan,1088.9,178.0,7.559999999999999,6.11738136302605
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua he thu,770.0,185.0,7.559999999999999,4.162139664109923
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua mi,1.6,1.9,7.559999999999999,0.8416622830089426
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Lua mua,33.6,28.8,7.559999999999999,1.1666261588139302
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,Ngo,57.8,8.8,7.559999999999999,6.567435518691058
1995,An Giang,27.56,31.95,24.39,75.97,1713.66,San,11.6,1.4,7.559999999999999,8.279800142755175
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Khoai,2.0,0.2,7.16,9.950248756218905
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua dong xuan,1132.5,188.2,7.16,6.017502563748333
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua he thu,795.7,206.7,7.16,3.8495217729957765
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua mi,2.3,1.6,7.16,1.4366021236727045
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Lua mua,43.3,22.3,7.16,1.9416169678489754
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,Ngo,56.2,8.6,7.16,6.534123939076852
1996,An Giang,27.2,31.43,24.27,79.27,2124.96,San,18.4,1.2,7.16,15.320566194837635
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Khoai,1.2,0.1,7.310000000000002,11.881188118811881
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Lua dong xuan,1307.6,209.8,7.310000000000002,6.232572771340461
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Lua he thu,649.8,190.0,7.310000000000002,3.4199820000947363
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Lua mi,8.4,5.6,7.310000000000002,1.4997321906802357
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Lua mua,23.1,15.2,7.310000000000002,1.5196368659956583
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,Ngo,17.9,4.7,7.310000000000002,3.8077004892576047
1997,An Giang,27.52,31.78,24.47,78.04,1561.0,San,14.9,1.1,7.310000000000002,13.533151680290645
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Khoai,2.5,0.3,7.380000000000003,8.305647840531561
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua dong xuan,1308.7,212.5,7.380000000000003,6.158559253838805
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua he thu,710.5,200.0,7.380000000000003,3.552482237588812
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua mi,1.1,3.6,7.380000000000003,0.30547070258261594
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Lua mua,25.4,16.7,7.380000000000003,1.5208670139512603
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,Ngo,17.0,4.3,7.380000000000003,3.952569169960474
1998,An Giang,28.22,32.56,25.18,76.69,1958.68,San,9.0,1.0,7.380000000000003,8.991008991008991
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Khoai,5.5,0.4,6.550000000000001,13.71571072319202
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua dong xuan,1258.8,216.6,6.550000000000001,5.811607517970831
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua he thu,814.5,231.5,6.550000000000001,3.518343333290137
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua mi,3.2,3.2,6.550000000000001,0.999687597625742
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Lua mua,26.7,14.8,6.550000000000001,1.8039321667454902
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,Ngo,9.7,5.1,6.550000000000001,1.901587923936483
1999,An Giang,26.95,30.85,24.3,81.3,2333.7,San,23.5,1.3,6.550000000000001,18.0630284396618
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Khoai,5.8,0.4,6.720000000000002,14.463840399002494
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua dong xuan,1344.9,220.4,6.720000000000002,6.102059428042523
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua he thu,807.0,232.8,6.720000000000002,3.4664799549830114
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua mi,0.0,0.0,6.720000000000002,0.0
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Lua mua,25.8,11.2,6.720000000000002,2.3033657709133113
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,Ngo,10.5,5.1,6.720000000000002,2.0584199176632034
2000,An Giang,27.31,31.3,24.58,80.37,2063.71,San,8.1,0.6,6.720000000000002,13.477537437603994
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Khoai,4.3,0.2,6.77,21.393034825870647
2001,An Giang,27.56,31.55,24.78,79.25,1847.46,Lua dong xuan,1231.8,221.7,6.77,5.556131907388781
